Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description,Description,Website,Industry
2020-01-02,202000296W,4FAR HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000337G,ANGELHOST HLH SERIES A PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000354Z,LCLV HOLDCO V PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000360H,LCLV HOLDCO VI PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-02,202000373N,AB CAPITAL MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000391W,FENG HUI PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000402H,GL SPV PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-02,202000409E,SFKG PROPERTY ASIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"PROPERTY FUND MANAGEMENT (INCLUDING REIT MANAGEMENT AND DIRECT PROPERTY FUND MANAGEMENT)","","PROPERTY FUND MANAGEMENT (INCLUDING REIT MANAGEMENT AND DIRECT PROPERTY FUND MANAGEMENT)"
2020-01-02,202000434H,TI-SKY CONSULTING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"PROPERTY FUND MANAGEMENT (INCLUDING REIT MANAGEMENT AND DIRECT PROPERTY FUND MANAGEMENT)","","PROPERTY FUND MANAGEMENT (INCLUDING REIT MANAGEMENT AND DIRECT PROPERTY FUND MANAGEMENT)"
2020-01-02,202000437C,SG QUICKPAY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"REMITTANCE SERVICES","","REMITTANCE SERVICES"
2020-01-03,202000454N,GREYSTAR ASIA PACIFIC SUB-MANAGER PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"FUND MANAGEMENT ACTIVITIES N.E.C.","","FUND MANAGEMENT ACTIVITIES N.E.C."
2020-01-03,202000472W,THE CORE SECURITIES COMPANY (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"STOCK, SHARE AND BOND BROKERS AND DEALERS","","STOCK, SHARE AND BOND BROKERS AND DEALERS"
2020-01-03,202000474Z,SPACE CREW ASIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES N.E.C.","","MANAGEMENT CONSULTANCY SERVICES N.E.C."
2020-01-03,202000476C,GREEN SOLAR TECHNOLOGY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-03,202000491M,SUNNY STONE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-03,202000493N,GEKO LIFE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-03,202000520G,SEVEN CAPITAL WEALTH PARTNERS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"ACTIVITIES AUXILIARY TO FUND MANAGEMENT ACTIVITIES (EG INDEPENDENT FUND ADMINISTRATION FIRMS)","","ACTIVITIES AUXILIARY TO FUND MANAGEMENT ACTIVITIES (EG INDEPENDENT FUND ADMINISTRATION FIRMS)"
2020-01-03,202000530Z,EQUINIX APAC 1 HYPERSCALE HOLDINGS 1 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-03,202000532C,EQUINIX APAC 1 HYPERSCALE HOLDINGS 2 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-03,202000547H,GREENTECH GROUP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-03,202000553W,AIGP2 CHENNAI 2 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000561H,IN-TECH ELECTRONICS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000563K,BRIDGESTONE TECHNOLOGY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000565M,SV CLASS I PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000570K,AIGP2 CHENNAI 3 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000583R,KYLIN INTERNATIONAL (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000589C,PIECE INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000593H,MYT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000596C,QUATRO FOLHAS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-03,202000609N,BIZSERVE TECHNOLOGY INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-03,202000617E,PRIVIUM PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-03,202000621M,SINGA DIGITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-03,202000640G,ZD CAPITAL PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-04,202000660M,PCK VENTURE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-05,202000676K,NEW AASHIQ RESTAURANT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MINI-MARTS, CONVENIENCE STORES AND PROVISION SHOPS","","MINI-MARTS, CONVENIENCE STORES AND PROVISION SHOPS"
2020-01-06,202000690K,KKC INVESTMENT HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000707G,FINTOPIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000710D,SMARTOPIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000712E,APRO INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000712E,UDINARY INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000719C,VITOL CHN VENTURE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000723H,INDOCHINA HEALTHCARE VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000726C,NEONEXUS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000732K,NUSANTICS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000733C,RNA CONSULTING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER ACTIVITIES AUXILIARY TO FINANCIAL SERVICE ACTIVITIES N.E.C. (EG MORTGAGE ADVISORY FIRMS)","","OTHER ACTIVITIES AUXILIARY TO FINANCIAL SERVICE ACTIVITIES N.E.C. (EG MORTGAGE ADVISORY FIRMS)"
2020-01-06,202000768N,PINNACLE UNDERWRITING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"REINSURANCE UNDERWRITING ADVISORY SERVICES","","GENERAL REINSURANCE"
2020-01-06,202000774D,BIGL ENTERPRISES (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"REINSURANCE UNDERWRITING ADVISORY SERVICES","","GENERAL REINSURANCE"
2020-01-06,202000785G,E-IDOLS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"LICENCE SALES AND EVENT/ TV PRODUCTION","","EVENT/CONCERT ORGANISERS"
2020-01-06,202000786W,HONESTAR PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000789K,ROCKWAY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000791R,360 GLOBAL (SG) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"COMMODITY TRADING","","COMMODITY (EXCLUDING GOLD) AND FUTURES BROKERS AND DEALERS"
2020-01-06,202000814C,METKA EGN SINGAPORE HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000819R,WALLEX PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"SECURITY DEALINGS AND COMMODITY CONTRACTS BROKERAGE ACTIVITIES N.E.C.","https://wallex.asia/sg/","SECURITY DEALINGS AND COMMODITY CONTRACTS BROKERAGE ACTIVITIES N.E.C."
2020-01-06,202000828W,TAIKO CAPITAL INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"ASSET INVESTMENT AND MANAGEMENT","","OTHER HOLDING COMPANIES"
2020-01-06,202000830D,PHEMEX FINANCIAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"SECURITY DEALINGS AND COMMODITY CONTRACTS BROKERAGE ACTIVITIES N.E.C.","","SECURITY DEALINGS AND COMMODITY CONTRACTS BROKERAGE ACTIVITIES N.E.C."
2020-01-06,202000837Z,BEAUTY LION INVESTMENT (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000840R,YIDA COLOR-TECH PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-06,202000847M,CHINA HEALTHCARE MANAGEMENT OPERATION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
